"Microsoft Schweiz GMBH","Microsoft Schweiz GMBH"
"Microsoft Search","Microsoft ئىزدىگۈچ"
"Microsoft services","Microsoft مۇلازىمەتلىرى"
"Microsoft Services Agreement","Microsoft مۇلازىمەت كېلىشىمى"
"Microsoft Software Download","Microsoft يۇمشاق دېتال چۈشۈرۈش مەركىزى"
"Microsoft Software License Terms","Microsoft يۇمشاق دېتال ئىجازەت شەرتنامىسى"
"Microsoft StaffHub","Microsoft StaffHub"
"Microsoft Sticky Notes","Microsoft چاپلاق خاتىرىسى"
"Microsoft Store","Microsoft Store"
"Microsoft Store device app","ئۈسكۈنە ئەپى Microsoft Store"
"Microsoft Store for Business","Microsoft Store سودا ئۈچۈن"
"Microsoft Store for Education","Microsoft Store مائارىپ ئۈچۈن"
"Microsoft Store location","Microsoft Store ئورنى"
"Microsoft Store online","Microsoft Store توردىكى"
"Microsoft Store on Windows 10","Microsoft Store دىكى Windows 10"
"Microsoft Store on Xbox One","Microsoft Store دىكى Xbox One"
"Microsoft Stream","Microsoft Stream"
"Microsoft Support","Microsoft خېرىدارلار ياردەم مەركىزى"
"Microsoft Surface Hub","Microsoft Surface Hub"
"Microsoft Teams","Microsoft Teams"
"Microsoft To-Do","Microsoft To-Do"
"Microsoft Translator Hub","Microsoft Translator Hub"
"Microsoft Update","Microsoft Update"
"Microsoft Update Catalog","Microsoft Update مۇندەرىجىسى"
"Microsoft Update Solution Center","Microsoft Update قارار مەركىزى"
"Microsoft Visual Studio Tools for Applications","Microsoft Visual Studio ئەپ قوراللىرى"
"Microsoft Whiteboard Preview","Microsoft ئاق دوسكا كۆرىكى"
"Microsoft Wi-Fi","Microsoft Wi-Fi"
"Microsoft Word","Microsoft Word"
"Microsoft Workplace Analytics teamwork solution","Microsoft ئىش سۇپىسى ئانالىزى ھەمكارلىق لايىھەسى"
"midtone","ئارا ھالەت"
"mini calendar","كىچىك كالېندار"
"MINIFS","MINIFS"
"minimize","كىچىكلەتمەك"
"Mini toolbar","كىچىك قورالبالداق"
"Mini Toolbar","كىچىك قورالبالداق"
"Mini Toolbar Indicator","كىچىڭ قورالبالداق كۆرسەتكۈچ"
"Mini Translator","كىچىك تەرجىمان"
"minor","ئۆسمۈر"
"Mirror","ئەينەك تەسۋىر"
"mirror","ئەينەك"
"MIRRORARRAY","تەتۈر قاتار"
"mirror margins","ئەينەك رامكا"
"Mixed DPI mode","ئارىلاشما DPI ھالىتى"
"mixed reality","ئارىلاش رېئاللىق"
"mixed reality headset","ئارىلاش رېئاللىق تاقىغۇچ"
"Mixed Reality Portal","ئارىلاش رېئاللىق ئېغىزى"
"mixed world","ئارىلاش دۇنيا"
"Mixer","Mixer"
"mixtape","بىرىكمە"
"MMS","MMS"
"mobile","كۆچمە"
"Mobile","يان تېلېفون"
"mobile device","كۆچمە ئۈسكۈنە"
"mobile hotspot","كۆچمە تور نۇقتىسى"
"mobile operator","يان تېلېفون مەشغۇلاتى"
"mobile phone","يان تېلېفون"
"mobile phone number","يان تېلېفون نومۇرى"
"Mobile Plans","كۆچمە مۇلازىمەت پىلانلىرى"
"mobile printing","كۆچمە بېسىش"
"Mobile site","يان تېلېفون بېكىتى"
"Mobile view","يانفون كۆرۈنۈشى"
"mode","ھالەت"
"model","ئۈلگە"
"modem","مودېم"
"Modern Attachments","زامانىۋىي يۈكلەنمە"
"modern authentication","زامانىۋىي كىملىك تەكشۈرۈش"
"modern client authentication library","چاغداش ئۇچئەپ تەستىق ئامبىرى"
"MODI","MODI"
"modifier key","ئۆزگەرتىش كۇنۇپكىسى"
"MOICE","MOICE"
"Moji","سىنچە"
"Money","ئىقتىساد"
"monitor","كۆرسەتكۈچ"
"mood message","كەيپىيات ئۇچۇرى"
"mood panel","كەيپىيات بەلگىلىرى سۇپىسى"
"More","كۆپ"
"More Syllables","باشقا بوغۇم"
"Morph","ئۆزگىرىش"
"Most played apps","كۆپ ئىشلەتكەن ئەپلەر"
"Most played games","كۆپ ئوينالغان ئويۇنلار"
"Most popular","ئەڭ ئاۋاتلىرى"
"Most popular apps","ئەڭ ئاۋات ئەپلەر"
"Most popular games","ئەڭ ئاۋات ئويۇنلار"
"Most rented","كۆپ ئىجارىلىكلىرى"
"Most rented apps","كۆپ ئىجارىلىك ئەپلەر"
"Most rented games","كۆپ ئىجارىلىك ئويۇنلار"
"motion controller","ھەرىكەت كونتروللىغۇچ"
"motion focus","ئىشارە نۇقتىسى"
"motion path","ھەرىكەت يولى"
"motion sensor","ھەرىكەت سەزگۈچ"
"mouse","مائۇس"
"mouse click","مائۇس چېكىش"
"mouse pointer","مائۇس ئىسترېلكىسى"
"mouse shortcut","مائۇس تېزلەتمىسى"
"mouse wheel","مائۇس چاقى"
"move","يۆتكىمەك"
"move handle","يۆتكەش تۇتقۇچى"
"move mode","يۆتكەش ھالىتى"
"Move to Non-Focused Inbox","نۇقتىلىق ئەمەس خەت ساندۇقىغا يۆتكەش"
"Movie genres","كىنو ژانىرى"
"Movie Maker","كىنو ئىشلىگۈچ"
"Movie Moments","كىنو ئەسنالىرى"
"Movie studios","كىنو ئىستودىيەسى"
"Movies & TV","كىنو-تېلېۋىزىيە"
"moving average","ئوتتۇرىچە ھەرىكەت"
"moving average trendline","يۆتكىلىش ئارا سىزىقى"
"moving border","يۆتكەش چېگىرىسى"
"MS-DOS","MS-DOS"
"msinfo32.exe","msinfo32.exe"
"MSN Apps","MSN قوراللىرى"
"MSN Food & Drink","MSN يېمەك - ئىچمەك"
"MSN Health & Fitness","MSN سالامەتلىك ۋە ساغلاملىق"
"MSN Money","MSN ئىقتىساد"
"MSN Sports","MSN تەنتەربىيەسى"
"MSN Travel","MSN ساياھەت"
"MSN Weather","MSN ھاۋارايى"
"MTA","MTA"
"Multidirectional Cycle","كۆپ يۆلىنىشلىك ھالقا"
"Multi-Geo","Multi-Geo"
"multi-geo aware","كۆپ ئورۇنلۇق"
"Multi-Geo Capabilities","Multi-Geo Capabilities"
"multi-geo environment","كۆپ ئورۇنلۇق مۇھىت"
"multi-geo license","كۆپ ئورۇنلۇق ئىجازەت"
"multi-geo search","كۆپ ئورۇنلۇق ئىزدەش"
"Multi-Geo tenant","كۆپ ئورۇنلۇق ئىشلەتكۈچى"
"Multilingual User Interface","كۆپ تىللىق ئىشلەتكۈچى ئارايۈزى"
"multimedia","كۆپ ۋاسىتىلىك"
"Multimedia design","تاراتقۇ لايىھەسى"
"Multi-player online battle arena","كۆپ كىشىلىك تور ئۇرۇش مەيدانى"
"multiple choice question","كۆپ تاللاش سوئالى"
"multiple-level category labels","كۆپ قاتلاملىق خەتكۈچلەر"
"multiple masters","كۆپ خىل ئۇسلۇب يىتەكچىسى"
"multiple selection","كۆپ تاللاش"
"multi session-capable disc","كۆپ جەريانغا ماس دىسكا"
"multi-stop slider","كۆپ تىنىشلىق سىيرىلما"
"multithreaded apartment","كۆپ ئېقىملىق بۆلۈمچە"
"multi-touch","كۆپ سەزمىلىك"
"multi-touch input","كۆپ چەكمىلىك كىرگۈزۈش"
"music","مۇزىكا"
"Music","مۇزىكا"
"Music deals","ناخشا-مۇزىكا سودىسى"
"Music Pass","Music Pass"
"Music production","مۇزىكا ئىشلەش"
"mute","ئاۋازسىز قىلماق"
"MXN","MXN"
"My account","ھېساباتىم"
"My Account","ھېسابىم"
"MyAnalytics","MyAnalytics"
"MyAnalytics Outlook add-in","MyAnalytics Outlook قىستۇرمىسى"
"My apps","ئەپلىرىم"
"My Computer","كومپيۇتېرىم"
"My Day","كۈنۈم"
"My Documents","ھۆججەتلىرىم"
"My feedback","تەكلىپ-پىكىرلىرىم"
"My movies & TV","كىنو-تېلېۋىزىيەلىرىم"
"My music","ناخشا-مۇزىكام"
"My Music","مۇزىكىلىرىم"
"My Notes","خاتىرەم"
"My Office","ئىشخانام"
"My People","كىشىلىرىم"
"my stuff","نەرسىلىرىم"
"My Sways","مېنىڭ Sway لىرىم"
"My Tasks","ۋەزىپەم"
"My Videos","سىنلىرىم"
"My videos","سىنلىرىم"
"My Watchlist","تاللانما"
"n/a","مەۋجۇت ئەمەس"
"name","نامى"
"named item view","نام قويۇلغانلىرىنى كۆرۈش"
"named set","ناملىق توپلام"
"NaN","NaN"
"narration","بايان"
"Narrator","ئېكران ئوقۇغۇچ"
"n-ary","N ئەزالىق"
"nary","N ئەزالىق"
"National Register of Legal Entities","كارخانىلارنىڭ دۆلەتلىك نومۇرى"
"native boot","يەرلىك قوزغىتىش"
"native database query","يەرلىك ساندان سۈرۈشتۈرمىسى"
"native query","يەرلىك سۈرۈشتۈرمە"
"natural language searching","تەبىئىي تىللىق ئىزدەش"
"natural pencil","تەبىئىي قەلەم"
"Natural Persons Register","شەخس نومۇرى"
"natural query syntax","تەبىئىي سۈرۈشتۈرمە گىرامماتىكىسى"
"navigate","ھەيدىمەك"
"navigation","تور كېزىش"
"Navigation Bar","يىتەكلىگۈچ"
"navigation bar","ھەيدەش بالدىقى"
"navigation drawer","يۆتكىلىش تارتمىسى"
"navigation layout","يېتەكلەش لايىھەسى"
"Navigation & maps","يول باشلاش ۋە خەرىتىلەر"
"navigation pane","ھەيدەش رامكىسى"
"NDA","مەخپىيەتلىكنى ساقلاش كېلىشىمى"
"necessary service data","زۆرۈر مۇلازىمەت مەلۇماتى"
"negative indent","مەنپىي كىرتىك"
"nested table","قاپلانما جەدۋەل"
"Nested Target","رامكىلىق نىشان"
"netbook","تور كومپيۇتېرى"
".NET Framework",".NET Framework"
"network","تور"
"Network","تور"
"network adapter","تور ماسلاشتۇرغۇچ"
"network administrator","تور باشقۇرغۇچى"
"Network and Sharing Center","تور ۋە ئورتاقلىشىش مەركىزى"
"network configuration","تور سەپلىمىلىرى"
"network connection","تور ئۇلىنىشى"
"Network Diagram","تور دىئاگراممىسى"
"network drive","تور قوزغاتقۇچ"
"Networking","تور"
"Networking Partner Program","تور ھەمكارلىق پىروگراممىسى"
"Network & Internet","تور ۋە ئىنتېرنېت"
"Network Printer Installation Wizard","تور پىرىنتېرى قاچىلاش يېتەكچىسى"
"network reset","تورنى قايتا بەلگىلەش"
"neutral character","ناتۇرال ھەرپ"
"New albums","يېڭى پىلاستىنكىلار"
"New and rising","يېڭى ۋە ئېشىۋاتقانلىرى"
"New and rising apps","يېڭى ۋە يۈكسەلگەن ئەپلەر"
"New and rising games","يېڭى ۋە يۈكسەلگەن ئويۇنلار"
"New apps","يېڭى ئەپلەر"
"New episode this week","بۇ ھەپتىدىكى يېڭى قىسىم"
"New games","يېڭى ئويۇنلار"
"New movies","يېڭى كىنولار"
"New music","يېڭى مۇزىكا"
"New releases","يېڭىلىرى"
"News","خەۋەر"
"newsfeed","ئۇچۇر ئىنكاسلىرى"
"newsgroup","خەۋەر گۇرۇپپىسى"
"newsletter","گېزىتچە"
"News & Weather","خەۋەر ۋە ھاۋارايى"
"New TV shows","يېڭى تىياتىرلار"
"next-of-kin process","كېيىنكى جەريان"
"NFC","NFC"
"nickname","لەقەم"
"night light","كېچىلىك يورۇقلۇق"
"Night mode","كېچە ھالىتى"
"no-bar fraction","ئاددىي كەسىر"
"node","تۈگۈن"
"NOK","نورۋېگىيە كىرونى"
"nonadjacent selection","قوشنا بولمىغان تاللانما"
"nonbreaking hyphen","پارچىلانماس سىزىقچە"
"nonbreaking space","پارچىلانماس بوشلۇق"
"nonce","بىر قېتىملىق"
"Nondirectional Cycle","يۆلىنىشسىز ھالقا"
"Nonfiction","ھەقىقىي"
"nonprinting region","بېسىلمايدىغان رايون"
"non-scheme color","لايھە ئىچىدە بولمىغان رەڭ"
"normalization","نورماللاشتۇرۇش"
"normalize","نورماللاشتۇرماق"
"Normal style","نورمال ئۇسلۇب"
"Normal template","نورمال قېلىپ"
"#NOSPILL!","#تاشماس!"
"not a number","سان ئەمەس"
"note","ئىزاھات"
"notebook","خاتىرە دەپتەر"
"Notebook List","خاتىرە دەپتەر تىزىملىكى"
"note container","خاتىرە ساندۇقى"
"Notes E-mailed To Me","ماڭا كەلگەن خاتىرە"
"notes page","خاتىرە بېتى"
"notes pane","خاتىرە كۆزنىكى"
"note tag","خاتىرە خەتكۈچى"
"notification","ئۇقتۇرۇش"
"notification area","ئۇقتۇرۇش رايونى"
"notification banner","ئۇقتۇرۇش تۇغلىرى"
"Now Playing","قويۇلۇۋاتىدۇ"
"N.T. dollar","تەيۋەن دوللىرى"
"ntext","ntext"
"NTFS","NTFS"
"NTFS file system","NTFS ھۆججەت سىستېمىسى"
"nudge","nudge"
"null","مەۋھۇم"
"null pointer","نۆل كۆرسەتكۈچ"
"Numbered list","تەرتىپلىك تىزىملىك"
"numbered list","تەرتىپلىك تىزىملىك"
"numeric expression","سانلىق ئىپادە"
"numeric picture switch","رەسىم ئالماشتۇرغۇچ"
"NZD","يېڭى زېلاندىيە دوللىرى"
"object","ئوبيېكت"
"object handle","ئوبيېكت تۇتقۇسى"
"object layout","ئوبيېكت لايھەسى"
"object library","ئوبيېكت ئامبىرى"
"object linking and embedding","ئوبيېكتنى ئۇلاش ۋە قىستۇرۇش"
"object zoom","ئوبيېكتنى چوڭ - كىچىكلىتىش"
"ocean","ئوكيان"
"OCM","Outlook خېرىدار باشقۇرغۇچى"
"OCR","OCR"
"OCT","OCT"
"OData Connector","OData ئۇلىغۇچ"
"ODBC","ODBC"
"ODBC data source","ODBC مەلۇمات مەنبەسى"
"ODBC driver","ODBC قوزغاتقۇچ"
"off-axis","ئوقتىن ئايرىلغان"
"offboarding","قوشۇش"
"Office 2016 Language Accessory Pack","Office 2016 Language Accessory Pack"
"Office 365","Office 365"
"Office 365 Advanced eDiscovery","Office 365 ئالىي بايقاش"
"Office 365 connector","Office 365 ئۇلىغۇچى"
"Office 365 Connectors","Office 365 ئۇلىغۇچلىرى"
"Office 365 Education Plus","Office 365 مائارىپ پىلۇس"
"Office 365 group","Office 365 گۇرۇپپىسى"
"Office 365 Groups","Office 365 گۇرۇپپىلىرى"
"Office 365 Message Encryption Viewer","Office 365 ئۇچۇر مەخپىيلەشتۈرۈش كۆرگۈچى"
"Office 365 Networking Partner Program","Office 365 تور ھەمكارلىق پىروگراممىسى"
"Office 365 Project Time Reporter","Office 365 Project Time Reporter"
"Office 365 Support and Recovery Assistant","Office 365 ياردەم ۋە ئەسلىگە كەلتۈرۈش ياردەمچىسى"
"Office 365 Users","Office 365 ئىشلەتكۈچى"
"Office account","Office ھېساباتى"
"Office add-in","Office قىستۇرمىسى"
"Office Add-ins","Office قىستۇرمىلىرى"
"Office Automation Services","Office Automation Services"
"Office Auto-Revisions","Office ئاپتوماتىك زاپاسلىرى"
"Office Button","Office كونۇپكىسى"
"Office compatibility definition file","Office نىڭ ماسلىشىشچانلىقىنى تەكشۈرۈش ھۆججىتى"
"Office connection string","Office ئۇلىنىش ئىبارىسى"
"Office data connection file","Office ئۇچۇر ئۇلىنىش ھۆججىتى"
"Office Deployment Tool","Office Deployment Tool"
"Office diagnostic data","Office تەكشۈرۈش مەلۇماتى"
"Office diagnostic data viewing","Office تەكشۈرۈش مەلۇماتىنى كۆرۈش"
"Office Diagnostics","Office دىئاگنوزى"
"Office Dictate","Office Dictate"
"Office Document Cache","Office ھۆججەت غەملىكى"
"Office enabled device","Office نى قوللايدىغان ئۈسكۈنە"
"Office File Validation","Office ھۆججەت تەستىقلاش"
"Office Forms Server","Office رامكا مۇلازىمېتىرى"
"Office Graph","Office Graph"
"Office Graph API","Office Graph API"
"Office Graph edge","Office Graph قىرى"
"Office Graph node","Office Graph تۈگۈنى"
"Office Intelligent Services","Office ئاڭلىق مۇلازىمەتلىرى"
"Office Lens","Office Lens"
"Office Lens to Doc","Office Lens دىن Doc قا"
"Office Notification Hub","Office ئۇقتۇرۇش مەركىزى"
"Office on Demand","Office on Demand"
"Office Online Server","Office تور مۇلازىمېتىرى"
"Office Online Sharing Service","Office ھەمبەھىر مۇلازىمىتى"
"Office Professional Academic 2016","Office ئالىي مەكتەپ كەسپىي نۇسخىسى 2016"
"Office Side-by-Side","يانداش Office"
"Office Store","Office دۇكىنى"
"Office Telemetry Agent","Office يىراقتىن ئۆلچەش مەركىزى"
"Office Telemetry Dashboard","Office يىراقتىن ئۆلچەش سۇپىسى"
"Office Telemetry Log","Office يىراقتىن ئۆلچەش خاتىرىسى"
"Office telemetry logging","Office دا يىراقتىن ئۆلچەشنى خاتىرىلەش"
"Office Telemetry Processor","Office يىراقتىن ئۆلچەش ئىجراچىسى"
"Offline","توردا يوق"
"offline","تورسىز"
"offline address book","يەرلىك ئادرېس دەپتىرى"
"offline cube file","كۆپ ئۆلچەملىك يەرلىك ھۆججەت"
"offline data source","يەرلىك ئۇچۇر مەنبەسى"
"offline folder file","يەرلىك مۇندەرىجىدىكى ھۆججەت"
"offline Help","تورسىز ياردەم"
"offline instant message","تورسىز قىسقا ئۇچۇر"
"offline map","تورسىز خەرىتە"
"offline mode","تورسىز ھالەت"
"Offset","ئاغما"
"OLAP","OLAP"
"OLAP cube","OLAP توپلىمى"
"OLAP provider","OLAP تەمىنلىگۈچى"
"OLAP server formatting","OLAP مۇلازىمىتېر ئەندىزىسى"
"OLE","OLE"
"OLE DB","OLE DB"
"OLEDB","OLE DB"
"OLE/DDE link","OLE/DDE ئۇلىنىشى"
"OLE object","OLE ئوبيېكت"
"OME Viewer","Office ئۇچۇر مەخپىيلەشتۈرۈش كۆرگۈچى"
"onboard","تورغا يوللىماق"
"onboarding","ئېلىش"
"OneDrive","OneDrive"
"OneDrive camera roll","OneDrive يەرلىك سۈرەت"
"OneDrive (cloud only)","OneDrive (بۇلۇت)"
"OneDrive.com","OneDrive.com"
"OneDrive Desktop","OneDrive ئۈستەليۈزى"
"OneDrive Dev Center","ئىجادچى مەركىزى"
"OneDrive Developer Center","ئىجادچى مەركىزى"
"OneDrive Files On-Demand","OneDrive كېرەك بولسا ھازىر ھۆججەت"
"OneDrive for Business","OneDrive for Business"
"OneDrive for Business with Multi-Geo Capabilities","Multi-Geo Capabilities بار OneDrive for Business"
"OneDrive for Mac","OneDrive نىڭ Mac نەشرى"
"OneDrive Multi-Geo","OneDrive كۆپ ئورۇن"
"OneDrive with Multi-Geo Capabilities","Multi-Geo Capabilities بار OneDrive"
"One Microsoft","One Microsoft"
"OneNote API","OneNote API"
"OneNote badge","OneNote ئىزناكى"
"OneNote Class Notebook","OneNote سىنىپ خاتىرىسى"
"OneNote Clipper","OneNote Clipper"
"OneNote Importer","OneNote ئەكىرگۈچ"
"OneNote Preview","OneNote Preview"
"OneNote Staff Notebook","OneNote خادىملار خاتىرە دەپتىرى"
"OneNote Staff Notebook for Education","OneNote خادىملار خاتىرىسى مائارىپ نۇسخىسى"
"one-sided test","بىر تەرەپلىك سىناق"
"one-tailed test","بىر قۇيرۇقلۇق سىناق"
"one-to-many relationship","«كۆپكە-بىر» مۇناسىۋەت"
"Online","توردا بار"
"online","توردا"
"online account","توردىكى ھېسابات"
"online analytical processing","توردا ئانالىزلىق بىر تەرەپ قىلىش"
"Online Archive","توردىكى ئارخىپ"
"online file storage","تور ھۆججەت بوشلۇقى"
"online meeting","تور يىغىنى"
"Online Video","تور سىنى"
"on-premises","شەرتلىك"
"oof","يوق"
"ookmark TOC","خەتكۈچ جەدۋىلى"
"ooo","يوق"
"open","ئاچماق"
"OpenDocument Presentation","OpenDocument دوكلاتى"
"opening bracket","ئوچۇق تىرناق"
"Open, suggested","ئوچۇق، تەۋسىيە"
"Open Sync Center","قەدەمداش مەركىزىنى ئاچماق"
"Open with","ئاچىدىغان قورال"
"operating system","مەشغۇلات سىستېمىسى"
"operating system deployment","مەشغۇلات سىستېمىسى ئورنىتىش"
"operation","مەشغۇلات"
"operation code","مەشغۇلات كودى"
"operator","ئوپېراتور"
"Opposing Arrows","قارشى يۆلىنىش"
"optical character recognition","ئوپتىكىلىق يېزىق تونۇش (OCR)"
"optimize","ئەلالاشتۇرماق"
"opt in","يول قويۇش"
"opt-in","يول قويۇش"
"optional attendee","ئىختىيارىي قاتناشچى"
"optional diagnostic data","قوشۇمچە تەكشۈرۈش مەلۇماتى"
"optional hyphen","ئىختىيارى سىزىقچە"
"option button","تاللانما تۈگمىسى"
"option group","تاللاش گۇرۇپپىسى"
"Options","تاللانمىلار"
"opt out","سۈزۈۋېتىش"
"opt-out","سۈزۈۋېتىش"
"order history","بۇيرۇتما تارىخى"
"organization","تەشكىلات"
"organization chart","ئورگان گىرافىكى"
"Organization Chart","ئورگان گىرافىكى"
"Organize","ئورۇنلاشتۇرۇش"
"organizer","تەشكىللىگۈچى"
"org chart","قاتلاملىق گىرافىك"
"orientation","يۆنىلىش"
"orphan","يالغۇز قۇر"
"orphan line","يېتىم قۇر"
"OSC","OSC"
"OSD","OSD"
"OSI","OSI"
"outdent","سوزۇق"
"outline","رامكا"
"outline data","تىزىس ئۇچۇرى"
"outline effect","چەك ئۈنۈمى"
"outline layout view","تىزىس كۆرۈنۈشى"
"outline level","چەك دەرىجىسى"
"outline numbered list","تىزىس تىزىملىكى"
"outline symbol","چەك بەلگىسى"
"Outlook","Outlook"
"Outlook Address Book","Outlook ئادرېس دەپتىرى"
"Outlook Anywhere","Outlook Anywhere"
"Outlook Calendar","Outlook كالېندار"
"Outlook.com","Outlook.com"
"Outlook Connector Pack","Outlook Connector بولىقى"
"Outlook Customer Manager","Outlook Customer Manager"
"Outlook E-Mail Postmark","Outlook E-Mail Postmark"
"Outlook Groups","Outlook Groups"
"Outlook item","Outlook ئوبيېكتى"
"Outlook Mail","Outlook خەت"
"Outlook Mail and Calendar","Outlook خەت ۋە كالېندار"
"Outlook Mail and Calendar Accounts","Outlook خەت ۋە كالېندار ھېساباتلىرى"
"Outlook on the web","توردىكى Outlook"
"Outlook Social Connector","Outlook تور ئاممىسىغا ئۇلىغۇچ"
"Outlook Today","Outlook دا بۈگۈن"
"Outlook Web App","Outlook Web App"
"Outlook Web App Light","Outlook تور ئەپىنىڭ يېنىك نەشرى"
"Outlook Web App Web Part","Outlook تور ئەپىنىڭ تور بۆلىكى"
"out of memory","ساقلىغۇچ يېتىشمەيدۇ"
"Out of Office","ئىشخانىدا ئەمەس"
"out-of-office","ئىشخانىدا يوق"
"Out of Office Assistant","ئاپتوماتىك جاۋاب قورالى"
"Out of Office message","ئىشخانىدا يوقلۇق ئۇچۇرى"
"output file","چىقما ھۆججەت"
"overallocation","ئارتۇق تەقسىملەش"
"overflow","تېشىپ كېتىش"
"overlap","ئۈستمۇئۈست چۈشۈرمەك"
"overlay","قاپلاش"
"overtype","قاپلاش"
"overtype mode","قاپلاش ھالىتى"
"owner","ئىگە"
"P2 header","P2 خەت بېشى"
"PAC","PAC"
"pack","بولىماق"
"package","بولاق"
"page","بەت"
"page break","بەتلىگۈچ"
"page break preview","بەت ئايرىپ كۆرۈش"
"page conflict","دىسكا بوشلۇقى"
"page fault","بەت خاتالىقى"
"page field","بەت ئورنى"
"page header","بەت بېشى"
"page layout","بەت لايىھەسى"
"page layout view","بەت لايھەسىنى كۆرۈش"
"page margin","بەت گىرۋىكى"
"Page Movement","بەت يۆتكەش"
"pager","چاقىرغۇ"
"page setup","بەت تەڭشەش"
"page size","بەت ھەجىمى"
"Page-Stack navigation","بەت دۆۋە يېتەكچىسى"
"page time","بەت ۋاقتى"
"page title","بەت نامى"
"pagination","بەتلەش"
"paid cellular data","ھەقلىق كۆچمە تور ئېقىمى"
"paid data network","ھەقلىق ئېقىم تورى"
"paid Wi-Fi services","ھەقلىق Wi-Fi مۇلازىمەتلىرى"
"Paint","رەسىم سىزغۇچ"
"pair","جۈپلىمەك"
"palette","بالداق"
"Palette Launcher","بالداق ئاچقۇچ"
"Palm Rejection","قول توسۇش"
"PAN","PAN"
"pan","يۆتكەش"
"pane","كۆزنەكچە"
"panning","سىلجىتىش"
"Panning Hand","سىلجىتىش تۇتقۇچى"
"panning mode","ھەرىكەتچان ھالەت"
"Panorama","پۈتۈن كۆرۈنۈش"
"panorama","پۈتۈن كۆرۈنۈش"
"paper jam","قەغەز قىسىلىش"
"paper size","قەغەز چوڭلۇقى"
"paragraph","ئابزاس"
"paragraph formatting","پاراگراف ئەندىزىسى"
"paragraph mark","پاراگراف بەلگىسى"
"paragraph style","پاراگراف ئۇسلۇبى"
"parameter query","پاراگراف ئۇچۇرى"
"parental controls","ئاتا كونتروللار"
"parent container","ئانا قاپ"
"parent folder","ئانا قىسقۇچ"
"PARENTHESIZED LATIN CAPITAL LETTER A","PARENTHESIZED LATIN CAPITAL LETTER A"
"parent node","ئانا تۈگۈن"
"pareto chart","پارېتو گىرافىكى"
"parity","تاق-جۈپلۈك"
"park","تاقاش"
"partial replica","قىسمەن كۆچۈرۈلمە"
"partition","رايون"
"partnership","شېرىك"
"Parts of speech","سۆز تۈركۈمى"
"passcode","پارول"
"passphrase","ئۆتكەل سۆز"
"password","پارول"
"password protection","پاروللۇق قوغداش"
"password spray attack","پارول چاچما ھۇجۇمى"
"paste","چاپلىماق"
"Paste and go","چاپلاپ كىرىش"
"patch","ياماش"
"path","يول"
"pattern","ئەندىزە"
"pattern fill","شەكىل تولدۇرۇش"
"patterns","ئۆرنەكلەر"
"pause","تورمۇزلىماق"
"Pay As You Go","خالىغانچە ھەق تۆلەش"
"pay as you go","خالىغانچە ھەق تۆلەش"
"payload","يۈك"
"payment instrument","ھەق تاپشۇرۇش قورالى"
"payment instrument challenge","ھەق تاپشۇرۇش قورالى سىنىقى"
"pay monthly","ئايلىق ھەق تۆلەش"
"payout","ھەق تاپشۇرۇش"
"pay rate","ھەق"
"PC","كومپيۇتېر"
"PC protection","كومپيۇتېر قوغداش"
"PC settings","كومپيۇتېر تەڭشەكلىرى"
"PC site","كومپيۇتېر بېكىتى"
"PDF reflow","PDF نى تېكستقا ئايلاندۇرۇش"
"PDF Render","PDF كۆرسەتكۈچ"
"PDL","PDL"
"peek","ماراش"
"peer","باراۋەرلىك"
"peer-to-peer network","بىرگە-بىر تورى"
"pel","pel"
"pen","قەلەم"
"pencil","قېرىنداش"
"pencil effect","قېرىنداش ئۈنۈمى"
"pencil ink","قېرىنداش بويىقى"
"pencil texture","قەلەم تۈزۈلۈشى"
"pen comment","يازما ئىنكاس"
"pending","كۈتۈك"
"pen plotter","بوياق"
"People","ئادەملەر"
"people","ئادەم"
"People Near Me","توردىكى قوشنىلار"
"People Pane","كىشىلەر كۆزنىكى"
"People peek","كىشىلەرنى كۆرۈش"
"people tag","كىشىلەر بەلگىسى"
"People tags","كىشىلەر بەلگىسى"
"percent complete","پېرسەنت تامام"
"performance","ئىقتىدار"
"Permanent Account Number","مەڭگۈلۈك ھېسابات نومۇرى"
"Permanent Time Zone Move Mode","مۇقىم ۋاقىت رايونى ھالىتى"
"permission","ئىجازەت"
"permission policy","ئىجازەت تۈزۈمى"
"permissions","ھوقۇق"
"per-monitor scaling","ئايرىم تەڭشەش"
"Personal Address Book","شەخسىي ئادرېس دەپتىرى"
"personal computer","شەخسلەر كومپيۇتېرى"
"personal finance","شەخسىي مالىيە"
"Personal Folders Backup","شەخسىي ھۆججەتدانلارنى زاپاسلاش"
"personalization","خۇسۇسىيلاشقان"
"Personalization","خاسلاشتۇرۇش"
"personalize","خاسلاشتۇرماق"
"personalized activity","ئۆزلەشتۈرۈلگەن ھەرىكەت"
"personalized menu","ئۆزلەشمە تىزىملىك"
"personally identifiable information","خۇسۇسىي ئۇچۇر"
"personal note","شەخسىي ئىزاھات"
"Personal security","شەخسىي بىخەتەرلىك"
"personal settings","خۇسۇسىي تەڭشەكلەر"
"personal view","شەخسى كۆرۈش"
"phase","باسقۇچ"
"phish","ئالدامچى"
"phishing","ساختىلىق"
"phishing campaign","ئالدامچى ئورۇن"
"Phone","تېلېفون"
"Phones","تېلېفونلار"
"Phone System","تېلېفون سىستېمىسى"
"photo","سۈرەت"
